Rędziny,E,28 934.77,20 583.13,239.51,kamiennogórski
Bobrowniki-Blachówka,Z,10 853.00,-,-,"m.Bytom, tarnogórski"
Brudzowice,E,135 400.80,75 853.36,1 399.26,będziński
Chruszczobród,R,191 317.00,-,-,"m.Dąbrowa Górnicza,zawierciański"
Chruszczobród 2,E,27 482.46,27 482.46,510.38,zawierciański
Chruszczobród I,R,17 443.70,-,-,zawierciański
Gadlin,R,982.00,-,-,m.Jaworzno
Gródek,Z,23 033.50,-,-,m.Jaworzno
Jaworzno-Ciężkowice,P,30 697.00,-,-,m.Jaworzno
Ząbkowice Będzińskie I,E,10 228.27,1 552.45,547.78,m.Dąbrowa Górnicza
Ząbkowice Będzińskie II,P,19 773.00,-,-,m.Dąbrowa Górnicza
Lubichów,Z,40 103,12 582 20 455 7 067,-,815
Nawojów Śląski,P,2 119,- - 2 119,-,-
Nowy Ląd,E,17 118,1 668 3 003 12 447,-,-
nan,E,10 266,2 724 1 033 6 509,-,-
Łopuszka Wielka,Z,168,- 72 96,-,53
Siedliska,R,3 952,- 823 3 129,-,4 743
nan,E,31 909,677 30 883 348,-,-
Gartatowice,Z,1 303,- 1 303 -,-,-
Leszcze,E,21 603,- 21 603 -,-,-
nan,R,14 500,14 500 - -,-,-
Siesławice,Z,2 100,-,2 100,-
"Skorocice-Chotelek",R,22 337,3 347,18 990,-
"Uników-Galów-Szaniec",P,31 140,-,-,31 140
Winiary,R,46 496,-,46 496,-
Wapno,R,7 683,1 875,1 673,4 135
Anna-Włodzice Małe (kop.),Z,7 528.00,-,-,lwówecki
Ocice II,P,4 015.00,-,-,"bolesławiecki,lwówecki"
Weronika II,Z,418.00,-,-,bolesławiecki
Zebrzydowa Zachód,E,5 901.58,2 247.49,199.75,zgorzelecki
Zofia (Czerwona Woda),R,tylko pzb.,-,-,zgorzelecki
Paszkowice,Z,4 164.03,-,-,opoczyński
Borkowice II,M,-,-,-,przysuski
Borkowice-Radestów 1,M,-,-,-,przysuski
Rozwady 1,E,80.20,-,16.00,przysuski
Zawada,R,2 062.00,-,-,przysuski
Patoka II,R,1 304.00,-,-,lubliniecki
Adamów,P,4 749.00,-,-,starachowicki
Baranów,E,1 121.77,1 025.77,13.49,skarżyski
Majków,P,17 182.41,-,-,"skarżyski,starachowicki"
Parszów-Szkleniec,R,3 935.00,-,-,starachowicki
Wierzbka,R,7 180.00,-,-,skarżyski
Wierzbka 1,R,553.01,-,-,skarżyski
Włochów,P,16 535.00,-,-,konecki
"Lusina-Udanin polePołudniowe",R,29 016.00,-,-,średzki
Lusina-Udanin pole Północne,R,6 117.00,-,-,średzki
Różana,R,6 961.00,-,-,średzki
