Lp.,Nazwa złoża,"Stan 
zag. 
złoża",Zasoby,Unnamed: 4,"Wydo-
bycie",Powiat,Unnamed: 0,Unnamed: 1,Stan,Wyszczególnienie,"Ilość 
złóż",Zasoby geologiczne,Unnamed: 3,Unnamed: 5,"Zasoby 
przemy- 
słowe","Nazwa złoża lub 
odwiertu w obrębie 
złoża 
nieudostępnionego","Typ 
wody","Zasoby geologiczne 
bilansowe","Pobór 
(m3/rok)",Zasoby wydobywalne,Zasoby  szacunkowe,"Ubytek 
z  
wydobycia","Stan 
Lp. 
Nazwa złoża 
zag. 
złoża",Unnamed: 2,"Lp. 
Nazwa  złoża","Stan 
zag.",Zasoby wydobywalne bilansowe,Wydobycie,p.,"Zasoby wydobywalne 
Zasoby 
Ilość 
Wyszczególnienie 
bilansowe 
przemy- 
pozabi- 
złóż 
słowe 
lansowe 
Razem 
A+B 
C",Unnamed: 6
,,,"geologiczne 
bilansowe","przemy-
słowe",,,,,,,,,,,,,,,,,,,,,,,,,,,
369.0,Lorenki,R,643,-,-,zgierski,,,,,,,,,,,,,,,,,,,,,,,,,
370.0,Lubania*,E,333,-,5,rawski,,,,,,,,,,,,,,,,,,,,,,,,,
371.0,Ludwików - Pole B,T,266,220,-,tomaszowski,,,,,,,,,,,,,,,,,,,,,,,,,
372.0,Ludwików - pole C,R,65,-,-,tomaszowski,,,,,,,,,,,,,,,,,,,,,,,,,
373.0,Ludwików I,E,187,187,59,bełchatowski,,,,,,,,,,,,,,,,,,,,,,,,,
374.0,Ludwików II,E,142,-,10,bełchatowski,,,,,,,,,,,,,,,,,,,,,,,,,
375.0,Ludwików III,E,671,671,63,tomaszowski,,,,,,,,,,,,,,,,,,,,,,,,,
376.0,Lutkówka,R,345,-,-,rawski,,,,,,,,,,,,,,,,,,,,,,,,,
377.0,Lutosławice,R,101,-,-,piotrkowski,,,,,,,,,,,,,,,,,,,,,,,,,
378.0,Ładzice*,R,152,-,-,radomszczański,,,,,,,,,,,,,,,,,,,,,,,,,
379.0,Łaskowice,Z,1 001,-,-,m.Łódź,,,,,,,,,,,,,,,,,,,,,,,,,
380.0,Łaszczyn*,E,2 115,1 366,2,rawski,,,,,,,,,,,,,,,,,,,,,,,,,
381.0,Łaszczyn II,Z,360,-,-,rawski,,,,,,,,,,,,,,,,,,,,,,,,,
382.0,Łaszczyn III,E,759,759,36,rawski,,,,,,,,,,,,,,,,,,,,,,,,,
383.0,Łaszczyn IV,E,263,256,87,rawski,,,,,,,,,,,,,,,,,,,,,,,,,
384.0,Łaszew Rządowy,Z,79,-,-,wieluński,,,,,,,,,,,,,,,,,,,,,,,,,
385.0,Łaznowska Wola III,Z,72,-,-,tomaszowski,,,,,,,,,,,,,,,,,,,,,,,,,
386.0,Łaznowska Wola V,Z,1 347,-,-,"łódzki wschodni, 
tomaszowski",,,,,,,,,,,,,,,,,,,,,,,,,
387.0,Łaznowska Wola VII,T,137,-,-,tomaszowski,,,,,,,,,,,,,,,,,,,,,,,,,
388.0,Łaznowska Wola VIIA,R,59,-,-,tomaszowski,,,,,,,,,,,,,,,,,,,,,,,,,
389.0,Łaznowska Wola XI,Z,250,-,-,tomaszowski,,,,,,,,,,,,,,,,,,,,,,,,,
390.0,Łaznowska Wola XII,E,320,-,3,tomaszowski,,,,,,,,,,,,,,,,,,,,,,,,,
391.0,Łaznowska Wola XIII,E,143,-,11,tomaszowski,,,,,,,,,,,,,,,,,,,,,,,,,
392.0,Łazy Duże,Z,204,-,-,piotrkowski,,,,,,,,,,,,,,,,,,,,,,,,,
393.0,Łazy Duże I,E,111,-,13,piotrkowski,,,,,,,,,,,,,,,,,,,,,,,,,
394.0,Łęczno I,R,159,-,-,piotrkowski,,,,,,,,,,,,,,,,,,,,,,,,,
395.0,Łęczno II,E,95,80,9,piotrkowski,,,,,,,,,,,,,,,,,,,,,,,,,
396.0,Łęka,T,579,579,-,łęczycki,,,,,,,,,,,,,,,,,,,,,,,,,
397.0,Łódź-Iglasta III,Z,183,-,-,m.Łódź,,,,,,,,,,,,,,,,,,,,,,,,,
398.0,Łódź-Iglasta IV,R,1 018,-,-,m.Łódź,,,,,,,,,,,,,,,,,,,,,,,,,
399.0,Łódź-Iglasta VI,E,3 292,3 292,43,m.Łódź,,,,,,,,,,,,,,,,,,,,,,,,,
400.0,Łódź-Listopadowa,M,-,-,-,m.Łódź,,,,,,,,,,,,,,,,,,,,,,,,,
401.0,Łódź-Malownicza,R,80,-,-,m.Łódź,,,,,,,,,,,,,,,,,,,,,,,,,
402.0,Łódź-Obłoczna,R,250,-,-,m.Łódź,,,,,,,,,,,,,,,,,,,,,,,,,
403.0,Łódź-Obłoczna I,R,904,-,-,m.Łódź,,,,,,,,,,,,,,,,,,,,,,,,,
404.0,Łódź-Opolska I,E,1 343,1 343,10,m.Łódź,,,,,,,,,,,,,,,,,,,,,,,,,
405.0,Łódź-Pomorska I,E,805,648,0,m.Łódź,,,,,,,,,,,,,,,,,,,,,,,,,
406.0,Łysa Góra,Z,195,-,-,skierniewicki,,,,,,,,,,,,,,,,,,,,,,,,,
407.0,Maluszyn,P,13 247,-,-,radomszczański,,,,,,,,,,,,,,,,,,,,,,,,,
408.0,Małków II*,R,119,-,-,sieradzki,,,,,,,,,,,,,,,,,,,,,,,,,
409.0,Małków III,Z,-,-,-,sieradzki,,,,,,,,,,,,,,,,,,,,,,,,,
410.0,Małków V,Z,396,-,-,sieradzki,,,,,,,,,,,,,,,,,,,,,,,,,
411.0,Małków VII,E,353,-,8,sieradzki,,,,,,,,,,,,,,,,,,,,,,,,,
412.0,Małków VIII,T,1 113,991,-,sieradzki,,,,,,,,,,,,,,,,,,,,,,,,,
413.0,Małków XI,T,491,491,-,sieradzki,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"geologiczne 
bilansowe","przemy-
słowe",,,"Lp. 
Nazwa złoża",,"zag. 
złoża",,,,,,,,,,,,,,,,,,,,,,
,,,12 658 821,1 897 646,27 954,,"ZŁOŻA UDOKUMENTOWANE 
złóż: 70;  OGÓŁEM",,,,,,,,,,,,,,,,,,,,,,,,
,,,393 137,275 451,123,,"woj. dolnośląskie 
złóż: 2",,,,,,,,,,,,,,,,,,,,,,,,
,,,314 900,275 451,123,bolesławiecki,"1 
Podgrodzie  
E",,,,,,,,,,,,,,,,,,,,,,,,
,,,78 237,-,-,bolesławiecki,"2 
Podgrodzie Dolne  
R",,,,,,,,,,,,,,,,,,,,,,,,
,,,913 363,292 325,7 287,,"woj. kujawsko-pomorskie 
złóż: 1",,,,,,,,,,,,,,,,,,,,,,,,
,,,913 363,292 325,7 287,"inowrocławski, 
żniński","1 
Barcin-Piechcin-Pakość  
E",,,,,,,,,,,,,,,,,,,,,,,,
,,,3 252 941,179 924,2 449,,"woj. lubelskie 
złóż: 11",,,,,,,,,,,,,,,,,,,,,,,,
,,,865 715,-,-,chełmski,1,Bezek,P,,,,,,,,,,,,,,,,,,,,,,
,,,195 772,176 594,2 449,"chełmski, m.Chełm",2,Chełm,E,,,,,,,,,,,,,,,,,,,,,,
,,,159 167,-,-,"chełmski, m.Chełm",3,Chełm I,R,,,,,,,,,,,,,,,,,,,,,,
,,,97 095,-,-,"biłgorajski, janowski",4,Frampol II,P,,,,,,,,,,,,,,,,,,,,,,
,,,91 900,-,-,chełmski,5,Nikodemówka,P,,,,,,,,,,,,,,,,,,,,,,
,,,267 890,-,-,chełmski,6,Pokrówka,P,,,,,,,,,,,,,,,,,,,,,,
,,,63 830,-,-,"kraśnicki, opolski",7,Popów,P,,,,,,,,,,,,,,,,,,,,,,
,,,37 709,3 330,-,chełmski,8,Rejowiec,T,,,,,,,,,,,,,,,,,,,,,,
,,,30 227,-,-,chełmski,9,Rejowiec I,R,,,,,,,,,,,,,,,,,,,,,,
,,,200 832,-,-,"krasnostawski, 
świdnicki",10,Trawniki,R,,,,,,,,,,,,,,,,,,,,,,
,,,1 242 804,-,-,tomaszowski,11,Żurawce,P,,,,,,,,,,,,,,,,,,,,,,
,,,1 883 663,90 377,3 253,,"woj. łódzkie 
złóż: 14",,,,,,,,,,,,,,,,,,,,,,,,
,,,187 682,21 767,854,pajęczański,1,Działoszyn-Trębaczew,E,,,,,,,,,,,,,,,,,,,,,,
,,,456 118,-,-,łęczycki,2,Goślub,R,,,,,,,,,,,,,,,,,,,,,,
,,,80 861,-,-,radomszczański,3,Granice,R,,,,,,,,,,,,,,,,,,,,,,
,,,18 391,8 461,-,radomszczański,4,Granice 1,R,,,,,,,,,,,,,,,,,,,,,,
,,,1 222,-,-,radomszczański,5,Kodrąb,R,,,,,,,,,,,,,,,,,,,,,,
,,,241 502,-,-,radomszczański,6,Kodrąb-Dmenin,P,,,,,,,,,,,,,,,,,,,,,,
,,,92 869,-,-,pajęczański,7,Kule,P,,,,,,,,,,,,,,,,,,,,,,
,,,209 423,-,-,opoczyński,8,Mariampol-Stok,P,,,,,,,,,,,,,,,,,,,,,,
,,,80 954,36 729,-,opoczyński,9,Mariampol-Stok I,R,,,,,,,,,,,,,,,,,,,,,,
,,,26 246,5 444,688,pajęczański,10,Niwiska Górne-Grądy,E,,,,,,,,,,,,,,,,,,,,,,
,,,156 043,17 975,1 711,pajęczański,11,Pajęczno-Makowiska I,E,,,,,,,,,,,,,,,,,,,,,,
,,,182 655,-,-,piotrkowski,12,Sulejów I,R,,,,,,,,,,,,,,,,,,,,,,
,,,92 761,-,-,łaski,13,Wielka Wieś,R,,,,,,,,,,,,,,,,,,,,,,
,,,56 937,-,-,wieluński,14,Wieluń,R,,,,,,,,,,,,,,,,,,,,,,
,,,"geologiczne 
bilansowe","przemy-
słowe",,,,,,,,,,,,,,,,,,,,,,,,,,,
156.0,Gogołów,Z,50,-,-,strzyżowski,,,,,,,,,,,,,,,,,,,,,,,,,
157.0,Gogołów dz.592,Z,21,-,-,strzyżowski,,,,,,,,,,,,,,,,,,,,,,,,,
158.0,Gogołów dz.620,Z,58,-,-,strzyżowski,,,,,,,,,,,,,,,,,,,,,,,,,
